Cod;Finca;Ano;Año;FA;Semana;PPI;pH;Al;CE;MO;Cas;Mgs;Ks;Nas;Ps;Zns;Fes;Mns;Cus;Bs;Ss;CICE;CaMg;CaK;CaNa;CaP;CaZn;CaHie;CaMn;CaCu;CaB;CaS;MgK;MgNa;MgP;MgZn;MgFe;MgMn;MgCu;MgB;MgS;Kna;KP;KZn;Kfe;KMn;Kcu;KB;KS;PZn;Pfe;PMn;Pcu;PB;PS;Znfe;ZnMn;Zncu;ZnB;ZnS;FeMn;Fecu;FeB;FeS;MnCu;MnB;MnS;CuB;CuS;BS;Pcai;Pmgi;Pki;Pnai;CaMgK;Nf;Pf;Kf;Caf;Mgf;Sf;Mnf;Fef;Znf;Cuf;Bf;Naf;NPf;NKf;NCaf;NMgf;NSf;NMnf;NFef;NZnf;NCuf;NBf;NNaf;PKf;PCaf;PMgf;PSf;PMnf;PFef;PZnf;PCuf;PBf;PNaf;KCaf;KMgf;KSf;KMnf;KFef;KZnf;KCuf;KBf;KNaf;CaMgf;CaSf;CaMnf;CaFef;CaZnf;CaCuf;CaBf;CaNaf;MgSf;MgMnf;MgFef;MgZnf;MgCuf;MgBf;MgNaf;SMnf;SFef;SZnf;SCuf;SBf;SNaf;MnFef;MnZnf;MnCuf;MnBf;MnNaf;FeZnf;FeCuf;FeBf;FeNaf;ZnCuf;ZnBf;ZnNaf;CuBf;CuNaf;BNaf;HT;HJLI;HMJE;PPM;TMIN;TMAX;Da;Microp;Macrop;Ar;A
Ma11.18;Manuel;2011;Año1;Ma11;18;2,4;6;0,05;0,46;16,56;9,14;2,66;0,51;0,11;61,15;6,47;390,25;53,54;12;0,14;30,88;12,42;3,44;17,92;83,09;0,15;1,41;0,02;0,17;0,76;65,29;0,3;5,22;24,18;0,04;0,41;0,01;0,05;0,22;19;0,09;4,64;0,01;0,08;0;0,01;0,04;3,64;0,02;9,45;0,16;1,14;5,1;436,79;1,98;0,02;0,12;0,54;46,21;0,21;7,29;32,52;2787,5;12,64;4,46;382,43;1,73;85,71;0,39;0;73,59;21,42;4,11;0,89;23,14;28,4;2,12;41,81;9,46;2,91;2,07;244,03;106,89;35,57;6,01;20,29;43,32;13,4;0,68;3;9,75;13,7;0,12;0,27;0,8;4,73;1,4;0,66;0,05;0,22;0,73;1,02;0,01;0,02;0,06;0,35;0,1;0,05;4,42;14,36;20,17;0,17;0,39;1,18;6,96;2,06;0,97;3,25;4,57;0,04;0,09;0,27;1,57;0,47;0,22;1,4;0,01;0,03;0,08;0,48;0,14;0,07;0,01;0,02;0,06;0,34;0,1;0,05;2,28;6,86;40,61;12,03;5,63;3,01;17,79;5,27;2,47;5,92;1,75;0,82;0,3;0,14;0,47;13,6;9,2;10,2;19,5;22,7;34;1,08;12,3;19,9;27,22;69,18
Ma11.19;Manuel;2011;Año1;Ma11;19;1,9;5,56;0,1;0,43;18,29;7,56;2,12;0,9;0,15;51,66;4,77;408,49;44,87;6,89;0,11;25,27;10,73;3,57;8,4;50,4;0,15;1,58;0,02;0,17;1,1;68,73;0,3;2,36;14,13;0,04;0,44;0,01;0,05;0,31;19,27;0,08;6;0,02;0,19;0;0,02;0,13;8,18;0,04;10,83;0,13;1,15;7,5;469,64;2,04;0,01;0,11;0,69;43,36;0,19;9,1;59,29;3713,55;16,17;6,51;407,91;1,78;62,64;0,27;0;70,46;19,76;8,39;1,4;10,76;28,9;2,1;41,91;9,87;2,94;2,06;240,45;111,81;30,11;6,35;28,33;48,54;13,78;0,69;2,93;9,85;14,02;0,12;0,26;0,96;4,55;1,02;0,6;0,05;0,21;0,71;1,02;0,01;0,02;0,07;0,33;0,07;0,04;4,25;14,28;20,33;0,17;0,37;1,39;6,6;1,48;0,86;3,36;4,79;0,04;0,09;0,33;1,56;0,35;0,2;1,42;0,01;0,03;0,1;0,46;0,1;0,06;0,01;0,02;0,07;0,32;0,07;0,04;2,15;7,99;37,89;8,49;4,95;3,71;17,62;3,95;2,3;4,74;1,06;0,62;0,22;0,13;0,58;13,4;9,6;10,6;144;23,1;34,3;1,08;12;20,9;27,22;69,18
Ma11.20;Manuel;2011;Año1;Ma11;20;2,25;5,3;0,12;0,44;14,84;6,62;1,6;0,51;0,1;98,13;7,03;397,87;32,59;10,58;0,15;21,57;8,83;4,14;12,98;66,2;0,07;0,94;0,02;0,2;0,63;44,13;0,31;3,14;16;0,02;0,23;0;0,05;0,15;10,67;0,07;5,1;0,01;0,07;0;0,02;0,05;3,4;0,02;13,96;0,25;3,01;9,28;654,2;4,55;0,02;0,22;0,66;46,87;0,33;12,21;37,61;2652,47;18,45;3,08;217,27;1,51;70,53;0,49;0,01;74,97;18,12;5,78;1,13;16,12;30,5;2,14;41,71;9,12;2,62;2,07;358,71;111,28;21,33;6,94;24,9;43,62;14,25;0,73;3,35;11,65;14,71;0,09;0,27;1,43;4,39;1,22;0,7;0,05;0,23;0,82;1,03;0,01;0,02;0,1;0,31;0,09;0,05;4,58;15,93;20,12;0,12;0,37;1,96;6,01;1,68;0,96;3,48;4,4;0,03;0,08;0,43;1,31;0,37;0,21;1,26;0,01;0,02;0,12;0,38;0,11;0,06;0,01;0,02;0,1;0,3;0,08;0,05;3,22;16,82;51,66;14,41;8,22;5,22;16,03;4,47;2,55;3,07;0,86;0,49;0,28;0,16;0,57;13,6;9,2;10,2;19,5;23;34;1,08;10,2;18,3;27,22;69,18
Ma11.21;Manuel;2011;Año1;Ma11;21;2,34;5,49;0,13;0,43;19,67;4,48;0,98;0,5;0,19;77,79;10,26;299,97;30,68;3,58;0,11;31,07;6,15;4,57;8,96;23,58;0,06;0,44;0,01;0,15;1,25;40,73;0,14;1,96;5,16;0,01;0,1;0;0,03;0,27;8,91;0,03;2,63;0,01;0,05;0;0,02;0,14;4,55;0,02;7,58;0,26;2,54;21,73;707,18;2,5;0,03;0,33;2,87;93,27;0,33;9,78;83,79;2727;9,65;8,57;278,91;0,99;32,55;0,12;0;72,85;15,93;8,13;3,09;10,92;31,1;1,82;38,16;8,89;2,56;2,41;384,51;88,99;24,08;9,96;17,79;227,44;17,09;0,81;3,5;12,15;12,9;0,08;0,35;1,29;3,12;1,75;0,14;0,05;0,2;0,71;0,76;0;0,02;0,08;0,18;0,1;0,01;4,29;14,91;15,83;0,1;0,43;1,58;3,83;2,15;0,17;3,47;3,69;0,02;0,1;0,37;0,89;0,5;0,04;1,06;0,01;0,03;0,11;0,26;0,14;0,01;0,01;0,03;0,1;0,24;0,14;0,01;4,32;15,97;38,61;21,61;1,69;3,7;8,93;5;0,39;2,42;1,35;0,11;0,56;0,04;0,08;14,2;9,6;10,6;257,5;23,4;35,6;1,08;9,6;20,1;27,22;69,18
Ma11.22;Manuel;2011;Año1;Ma11;22;1,86;6,04;0;0,55;17,94;6,2;1,84;0,4;0,15;126,48;4,8;407,81;53,02;2,17;0,07;51,55;6,93;3,37;15,5;41,33;0,05;1,29;0,02;0,12;2,86;88,57;0,12;4,6;12,27;0,01;0,38;0;0,03;0,85;26,29;0,04;2,67;0;0,08;0;0,01;0,18;5,71;0,01;26,35;0,31;2,39;58,29;1806,86;2,45;0,01;0,09;2,21;68,57;0,09;7,69;187,93;5825,86;7,91;24,43;757,43;1,03;31;0,04;0;89,47;26,55;5,77;2,16;15,95;30,6;2,02;44,38;9,79;2,77;2,71;350,39;112,6;33,81;8,97;21,98;352,01;15,15;0,69;3,13;11,05;11,29;0,09;0,27;0,91;3,41;1,39;0,09;0,05;0,21;0,73;0,75;0,01;0,02;0,06;0,23;0,09;0,01;4,53;16,02;16,38;0,13;0,39;1,31;4,95;2,02;0,13;3,53;3,61;0,03;0,09;0,29;1,09;0,45;0,03;1,02;0,01;0,02;0,08;0,31;0,13;0,01;0,01;0,02;0,08;0,3;0,12;0,01;3,11;10,36;39,06;15,94;1;3,33;12,55;5,12;0,32;3,77;1,54;0,1;0,41;0,03;0,06;13,6;9,4;10,4;37,5;23;36,8;1,08;12,3;20,9;27,22;69,18
Ma11.23;Manuel;2011;Año1;Ma11;23;1,82;5,47;0,08;1;20,7;6,9;1,76;0,51;0,4;44,36;7,21;317,4;31,97;5,62;0,21;22,5;9,57;3,92;13,53;17,25;0,16;0,96;0,02;0,22;1,23;32,86;0,31;3,45;4,4;0,04;0,24;0,01;0,06;0,31;8,38;0,08;1,28;0,01;0,07;0;0,02;0,09;2,43;0,02;6,15;0,14;1,39;7,89;211,24;1,97;0,02;0,23;1,28;34,33;0,32;9,93;56,48;1511,43;14,11;5,69;152,24;1,42;26,76;0,25;0,01;72,1;18,39;5,33;4,18;16,98;32,2;1,94;42,5;9,14;2,3;2,53;270,27;102,3;23,95;10,24;20,08;264,64;16,6;0,76;3,52;14;12,73;0,12;0,31;1,34;3,14;1,6;0,12;0,05;0,21;0,84;0,77;0,01;0,02;0,08;0,19;0,1;0,01;4,65;18,48;16,8;0,16;0,42;1,77;4,15;2,12;0,16;3,97;3,61;0,03;0,09;0,38;0,89;0,46;0,03;0,91;0,01;0,02;0,1;0,22;0,11;0,01;0,01;0,02;0,11;0,25;0,13;0,01;2,64;11,28;26,39;13,46;1,02;4,27;9,99;5,09;0,39;2,34;1,19;0,09;0,51;0,04;0,08;13,6;9,2;10,2;27;22,4;36,1;1,08;12,1;16,5;27,22;69,18
Ma11.24;Manuel;2011;Año1;Ma11;24;2,6;4,83;0,42;0,75;17,25;5,22;1,46;0,48;0,1;58,11;5,82;344,87;46,34;45,46;0,04;52,06;7,26;3,58;10,88;52,2;0,09;0,9;0,02;0,11;0,11;130,5;0,1;3,04;14,6;0,03;0,25;0;0,03;0,03;36,5;0,03;4,8;0,01;0,08;0;0,01;0,01;12;0,01;9,98;0,17;1,25;1,28;1452,75;1,12;0,02;0,13;0,13;145,5;0,11;7,44;7,59;8621,75;6,62;1,02;1158,5;0,89;1136,5;0,87;0;71,9;20,11;6,61;1,38;13,92;32,2;2,13;41,28;10,64;3,35;2,42;496,47;329,91;46,75;7,2;18,46;53,61;15,1;0,78;3,03;9,63;13,29;0,06;0,1;0,69;4,47;1,74;0,6;0,05;0,2;0,64;0,88;0;0,01;0,05;0,3;0,12;0,04;3,88;12,34;17,04;0,08;0,13;0,88;5,73;2,24;0,77;3,18;4,39;0,02;0,03;0,23;1,48;0,58;0,2;1,38;0,01;0,01;0,07;0,46;0,18;0,06;0;0,01;0,05;0,34;0,13;0,05;1,5;10,62;68,96;26,89;9,26;7,06;45,83;17,87;6,15;6,49;2,53;0,87;0,39;0,13;0,34;13,6;9;10;51;22,1;36,5;1,08;5,4;16,1;27,22;69,18
Ma11.25;Manuel;2011;Año1;Ma11;25;1,84;5,25;0,2;0,42;10,01;3,36;1,04;0,4;0,09;36,17;2,64;350,42;27,86;6,17;0,03;28,63;4,89;3,23;8,4;37,33;0,09;1,27;0,01;0,12;0,54;112;0,12;2,6;11,56;0,03;0,39;0;0,04;0,17;34,67;0,04;4,44;0,01;0,15;0;0,01;0,06;13,33;0,01;13,7;0,1;1,3;5,86;1205,67;1,26;0,01;0,09;0,43;88;0,09;12,58;56,79;11680,67;12,24;4,52;928,67;0,97;205,67;0,22;0;68,71;21,27;8,18;1,84;11;27,4;1,71;40,27;9,59;2,26;2,01;327,52;147,94;29,54;6,55;16,88;61,27;16,05;0,68;2,86;12,13;13,65;0,08;0,19;0,93;4,18;1,62;0,45;0,04;0,18;0,76;0,85;0,01;0,01;0,06;0,26;0,1;0,03;4,2;17,82;20,06;0,12;0,27;1,36;6,15;2,39;0,66;4,25;4,78;0,03;0,06;0,32;1,47;0,57;0,16;1,13;0,01;0,02;0,08;0,35;0,13;0,04;0,01;0,01;0,07;0,31;0,12;0,03;2,21;11,09;50,02;19,4;5,35;5,01;22,59;8,76;2,41;4,51;1,75;0,48;0,39;0,11;0,28;13,6;9;10;5;22,1;36,3;1,08;7,7;17,8;27,22;69,18
Ma11.26;Manuel;2011;Año1;Ma11;26;1,96;5,57;0,07;0,8;17,94;8,12;2,14;0,42;0,18;65,22;5,63;413,89;60,89;15,8;0,09;50,81;10,86;3,79;19,33;45,11;0,12;1,44;0,02;0,13;0,51;90,22;0,16;5,1;11,89;0,03;0,38;0,01;0,04;0,14;23,78;0,04;2,33;0,01;0,07;0;0,01;0,03;4,67;0,01;11,58;0,16;1,07;4,13;724,67;1,28;0,01;0,09;0,36;62,56;0,11;6,8;26,2;4598,78;8,15;3,85;676,56;1,2;175,56;0,31;0;74,77;19,71;3,87;1,66;24,43;29,9;1,89;39,61;9,52;2,75;2,15;378,93;208,17;45,42;6,09;19,02;65,07;15,79;0,75;3,14;10,86;13,89;0,08;0,14;0,66;4,91;1,57;0,46;0,05;0,2;0,69;0,88;0;0,01;0,04;0,31;0,1;0,03;4,16;14,38;18,4;0,1;0,19;0,87;6,5;2,08;0,61;3,46;4,42;0,03;0,05;0,21;1,56;0,5;0,15;1,28;0,01;0,01;0,06;0,45;0,14;0,04;0,01;0,01;0,05;0,35;0,11;0,03;1,82;8,34;62,18;19,92;5,82;4,58;34,16;10,94;3,2;7,45;2,39;0,7;0,32;0,09;0,29;13,8;9,4;10,4;0;22,1;36,3;1,08;6,5;14,4;27,22;69,18
Ma11.27;Manuel;2011;Año1;Ma11;27;2,54;5,35;0,1;1,38;27,26;6;1,24;0,88;0,66;60,22;9,51;342,97;47,12;2,54;0,17;22,22;8,78;4,84;6,82;9,09;0,1;0,63;0,02;0,13;2,36;35,29;0,27;1,41;1,88;0,02;0,13;0;0,03;0,49;7,29;0,06;1,33;0,01;0,09;0;0,02;0,35;5,18;0,04;6,33;0,18;1,28;23,71;354,24;2,71;0,03;0,2;3,74;55,94;0,43;7,28;135,03;2017,47;15,44;18,55;277,18;2,12;14,94;0,11;0,01;68,34;14,12;10,02;7,52;8,23;31,1;1,8;39,26;9,86;2,66;2,45;278,24;120,2;22,6;9,85;18,28;229,66;17,28;0,79;3,15;11,69;12,69;0,11;0,26;1,38;3,16;1,7;0,14;0,05;0,18;0,68;0,73;0,01;0,01;0,08;0,18;0,1;0,01;3,98;14,76;16,02;0,14;0,33;1,74;3,99;2,15;0,17;3,71;4,02;0,04;0,08;0,44;1;0,54;0,04;1,09;0,01;0,02;0,12;0,27;0,15;0,01;0,01;0,02;0,11;0,25;0,13;0,01;2,31;12,31;28,25;15,22;1,21;5,32;12,2;6,58;0,52;2,29;1,24;0,1;0,54;0,04;0,08;13,8;9;10;21;23;35,9;1,08;6,9;20,1;27,22;69,18
Ma11.28;Manuel;2011;Año1;Ma11;28;2,8;5,11;0,25;0,47;13,8;5,62;1,74;0,42;0,14;91,71;6,89;398,85;42,57;36,15;0,03;39,68;7,92;3,23;13,38;40,14;0,06;0,82;0,01;0,13;0,16;187,33;0,14;4,14;12,43;0,02;0,25;0;0,04;0,05;58;0,04;3;0;0,06;0;0,01;0,01;14;0,01;13,31;0,23;2,15;2,54;3057;2,31;0,02;0,16;0,19;229,67;0,17;9,37;11,03;13295;10,05;1,18;1419;1,07;1205;0,91;0;70,96;21,97;5,3;1,77;17,52;26,5;1,9;37,12;9,06;2,46;2,06;498,14;160,39;47,88;8,78;18,31;54,91;13,96;0,71;2,92;10,78;12,83;0,05;0,17;0,55;3,02;1,45;0,48;0,05;0,21;0,77;0,92;0;0,01;0,04;0,22;0,1;0,03;4,1;15,1;17,98;0,07;0,23;0,78;4,23;2,03;0,68;3,69;4,39;0,02;0,06;0,19;1,03;0,5;0,17;1,19;0;0,02;0,05;0,28;0,13;0,04;0;0,01;0,04;0,24;0,11;0,04;3,11;10,4;56,76;27,21;9,07;3,35;18,28;8,76;2,92;5,46;2,62;0,87;0,48;0,16;0,33;13,6;8,6;9,6;43;22,9;35,9;1,08;9;13,7;27,22;69,18
Ma11.29;Manuel;2011;Año1;Ma11;29;2,94;5,8;0,05;0,38;15,53;7,96;2,12;0,32;0,13;102,53;4,54;363,31;48,78;48,46;0,07;23,17;10,53;3,75;24,88;61,23;0,08;1,75;0,02;0,16;0,16;113,71;0,34;6,63;16,31;0,02;0,47;0,01;0,04;0,04;30,29;0,09;2,46;0;0,07;0;0,01;0,01;4,57;0,01;22,58;0,28;2,1;2,12;1464,71;4,43;0,01;0,09;0,09;64,86;0,2;7,45;7,5;5190,14;15,68;1,01;696,86;2,11;692,29;2,09;0;75,59;20,13;3,04;1,23;31,5;24,1;1,71;33,06;8,97;2,56;1,89;419,45;143,92;54,65;5,58;16,37;36,48;14,07;0,73;2,69;9,41;12,78;0,06;0,17;0,44;4,32;1,47;0,66;0,05;0,19;0,67;0,91;0;0,01;0,03;0,31;0,1;0,05;3,69;12,9;17,52;0,08;0,23;0,6;5,92;2,02;0,91;3,5;4,75;0,02;0,06;0,16;1,61;0,55;0,25;1,36;0,01;0,02;0,05;0,46;0,16;0,07;0;0,01;0,03;0,34;0,12;0,05;2,91;7,68;75,11;25,62;11,5;2,63;25,77;8,79;3,95;9,79;3,34;1,5;0,34;0,15;0,45;13,2;8,2;9,2;10;22;36;1,08;8,9;18,4;27,22;69,18
Ma11.30;Manuel;2011;Año1;Ma11;30;2,62;5,47;0,07;0,78;24,15;7,5;1,66;0,52;0,12;56,21;5,09;445,42;37,96;5,46;0,07;29,14;9,8;4,52;14,42;62,5;0,13;1,47;0,02;0,2;1,37;107,14;0,26;3,19;13,83;0,03;0,33;0;0,04;0,3;23,71;0,06;4,33;0,01;0,1;0;0,01;0,1;7,43;0,02;11,04;0,13;1,48;10,29;803;1,93;0,01;0,13;0,93;72,71;0,17;11,73;81,58;6363,14;15,29;6,95;542,29;1,3;78;0,19;0;76,53;16,94;5,31;1,22;17,62;23,5;1,65;31,5;8,47;2,67;1,83;517,52;169,29;41,17;4,99;19,54;41,03;14,22;0,75;2,78;8,82;12,82;0,05;0,14;0,57;4,71;1,2;0,57;0,05;0,2;0,62;0,9;0;0,01;0,04;0,33;0,08;0,04;3,72;11,82;17,18;0,06;0,19;0,76;6,31;1,61;0,77;3,18;4,62;0,02;0,05;0,21;1,7;0,43;0,21;1,45;0,01;0,02;0,06;0,53;0,14;0,06;0;0,01;0,04;0,37;0,09;0,04;3,06;12,57;103,75;26,48;12,61;4,11;33,94;8,66;4,13;8,25;2,11;1;0,26;0,12;0,48;13,2;8;9;16;22,6;35,8;1,08;10;15,7;27,22;69,18
Ma11.31;Manuel;2011;Año1;Ma11;31;2,22;5,26;0,07;0,78;20,7;6,76;1,44;0,58;0,12;49,89;5,24;413,34;40,69;3,55;0,09;28,52;8,9;4,69;11,66;56,33;0,14;1,29;0,02;0,17;1,9;75,11;0,24;2,48;12;0,03;0,27;0;0,04;0,41;16;0,05;4,83;0,01;0,11;0;0,01;0,16;6,44;0,02;9,52;0,12;1,23;14,05;554,33;1,75;0,01;0,13;1,48;58,22;0,18;10,16;116,43;4592,67;14,49;11,46;452,11;1,43;39,44;0,12;0;75,96;16,18;6,52;1,35;14,14;27,3;1,81;38,13;9,13;2,4;2,08;369,99;141,11;38,78;5,58;17,19;53;15,12;0,72;2,99;11,39;13,13;0,07;0,19;0,7;4,89;1,59;0,52;0,05;0,2;0,75;0,87;0;0,01;0,05;0,32;0,11;0,03;4,17;15,91;18,33;0,1;0,27;0,98;6,83;2,22;0,72;3,81;4,39;0,02;0,06;0,24;1,64;0,53;0,17;1,15;0,01;0,02;0,06;0,43;0,14;0,05;0,01;0,01;0,05;0,37;0,12;0,04;2,62;9,54;66,3;21,53;6,98;3,64;25,29;8,21;2,66;6,95;2,26;0,73;0,32;0,11;0,32;13,4;8,6;9,6;0;22,7;35,6;1,08;9,3;15,1;27,22;69,18
Ma11.32;Manuel;2011;Año1;Ma11;32;1,88;5,18;0,22;0,28;17,6;5,3;1,46;0,55;0,09;46,62;3,06;425,58;31,84;7,78;0,03;11,35;7,4;3,63;9,64;58,89;0,11;1,73;0,01;0,17;0,68;176,67;0,47;2,65;16,22;0,03;0,48;0;0,05;0,19;48,67;0,13;6,11;0,01;0,18;0;0,02;0,07;18,33;0,05;15,24;0,11;1,46;5,99;1554;4,11;0,01;0,1;0,39;102;0,27;13,37;54,7;14186;37,5;4,09;1061,33;2,81;259,33;0,69;0;71,62;19,73;7,43;1,22;12,29;28,3;1,77;40,13;8,4;2,21;2,06;393,45;144,15;46,46;5,64;15,43;46,14;15,99;0,71;3,37;12,79;13,76;0,07;0,2;0,61;5,02;1,83;0,61;0,04;0,21;0,8;0,86;0;0,01;0,04;0,31;0,11;0,04;4,78;18,14;19,52;0,1;0,28;0,86;7,12;2,6;0,87;3,79;4,08;0,02;0,06;0,18;1,49;0,54;0,18;1,08;0,01;0,02;0,05;0,39;0,14;0,05;0,01;0,01;0,04;0,36;0,13;0,04;2,73;8,47;69,81;25,5;8,53;3,1;25,58;9,34;3,12;8,24;3,01;1,01;0,37;0,12;0,33;13,6;8,8;9,8;0;22,5;35,5;1,08;12,3;15,5;27,22;69,18
Ma11.33;Manuel;2011;Año1;Ma11;33;1,86;5,57;0,07;0,8;17,94;8,12;2,14;0,42;0,18;65,22;5,63;413,89;60,89;15,8;0,09;50,81;10,86;3,79;19,33;45,11;0,12;1,44;0,02;0,13;0,51;90,22;0,16;5,1;11,89;0,03;0,38;0,01;0,04;0,14;23,78;0,04;2,33;0,01;0,07;0;0,01;0,03;4,67;0,01;11,58;0,16;1,07;4,13;724,67;1,28;0,01;0,09;0,36;62,56;0,11;6,8;26,2;4598,78;8,15;3,85;676,56;1,2;175,56;0,31;0;74,77;19,71;3,87;1,66;24,43;29,9;1,89;39,61;9,52;2,75;2,15;378,93;208,17;45,42;6,09;19,02;65,07;15,79;0,75;3,14;10,86;13,89;0,08;0,14;0,66;4,91;1,57;0,46;0,05;0,2;0,69;0,88;0;0,01;0,04;0,31;0,1;0,03;4,16;14,38;18,4;0,1;0,19;0,87;6,5;2,08;0,61;3,46;4,42;0,03;0,05;0,21;1,56;0,5;0,15;1,28;0,01;0,01;0,06;0,45;0,14;0,04;0,01;0,01;0,05;0,35;0,11;0,03;1,82;8,34;62,18;19,92;5,82;4,58;34,16;10,94;3,2;7,45;2,39;0,7;0,32;0,09;0,29;13,8;8,8;9,8;56;22,8;36;1,08;8,9;19,8;27,22;69,18
Ma11.34;Manuel;2011;Año1;Ma11;34;2,04;5,23;0,12;0,55;14,15;5,9;1,7;0,27;0,16;38,11;5,55;365,36;40,67;7,34;0,06;33,94;8,03;3,47;21,85;36,88;0,15;1,06;0,02;0,15;0,8;98,33;0,17;6,3;10,63;0,04;0,31;0;0,04;0,23;28,33;0,05;1,69;0,01;0,05;0;0,01;0,04;4,5;0,01;6,87;0,1;0,94;5,19;635,17;1,12;0,02;0,14;0,76;92,5;0,16;8,98;49,78;6089,33;10,76;5,54;677,83;1,2;122,33;0,22;0;73,47;21,17;3,36;1,99;28,15;32,5;1,99;41,52;11,77;3,25;2,32;497,27;323,16;41,31;6,69;19,64;61,37;16,35;0,78;2,76;10;13,99;0,07;0,1;0,79;4,85;1,66;0,53;0,05;0,17;0,61;0,86;0;0,01;0,05;0,3;0,1;0,03;3,53;12,77;17,87;0,08;0,13;1,01;6,2;2,11;0,68;3,62;5,06;0,02;0,04;0,28;1,76;0,6;0,19;1,4;0,01;0,01;0,08;0,49;0,17;0,05;0;0,01;0,06;0,35;0,12;0,04;1,54;12,04;74,28;25,33;8,1;7,82;48,27;16,46;5,27;6,17;2,1;0,67;0,34;0,11;0,32;13,2;8,8;9,8;38;22,4;36;1,08;6,6;16,2;27,22;69,18
Ma11.35;Manuel;2011;Año1;Ma11;35;2,6;5,48;0,1;0,57;15,87;7,22;2,02;0,21;0,13;45,41;5,46;386,9;63,74;14,3;0,07;33,17;9,58;3,57;34,38;55,54;0,16;1,32;0,02;0,11;0,5;103,14;0,22;9,62;15,54;0,04;0,37;0,01;0,03;0,14;28,86;0,06;1,62;0;0,04;0;0;0,01;3;0,01;8,32;0,12;0,71;3,18;648,71;1,37;0,01;0,09;0,38;78;0,16;6,07;27,06;5527,14;11,66;4,46;910,57;1,92;204,29;0,43;0;75,37;21,09;2,19;1,36;44;27,9;1,94;39,78;8,3;2,96;2,13;363,27;143,99;34,69;6,8;16,9;59,98;14,37;0,7;3,36;9,42;13,12;0,08;0,19;0,8;4,11;1,65;0,47;0,05;0,23;0,66;0,91;0,01;0,01;0,06;0,29;0,11;0,03;4,79;13,43;18,7;0,11;0,28;1,15;5,85;2,35;0,66;2,8;3,9;0,02;0,06;0,24;1,22;0,49;0,14;1,39;0,01;0,02;0,09;0,44;0,18;0,05;0,01;0,01;0,06;0,31;0,13;0,04;2,52;10,47;53,46;21,49;6,06;4,15;21,19;8,52;2,4;5,1;2,05;0,58;0,4;0,11;0,28;12;7,4;8,4;47,3;22,4;36;1,08;6,5;15;27,22;69,18
Ma11.36;Manuel;2011;Año1;Ma11;36;2,34;5,8;0,07;0,79;15,53;9,42;2,92;0,17;0,15;29,05;5,5;354,45;70,63;20,23;0,05;60,04;12,66;3,23;55,41;62,8;0,32;1,71;0,03;0,13;0,47;188,4;0,16;17,18;19,47;0,1;0,53;0,01;0,04;0,14;58,4;0,05;1,13;0,01;0,03;0;0;0,01;3,4;0;5,28;0,08;0,41;1,44;581;0,48;0,02;0,08;0,27;110;0,09;5,02;17,52;7089;5,9;3,49;1412,6;1,18;404,6;0,34;0;74,41;23,06;1,34;1,18;72,59;30,8;1,96;43,79;13,46;2,64;2,21;335,08;268,69;54,91;7,17;20,85;78,83;15,72;0,7;2,29;11,68;13,95;0,09;0,11;0,56;4,3;1,48;0,39;0,04;0,15;0,74;0,89;0,01;0,01;0,04;0,27;0,09;0,02;3,25;16,61;19,84;0,13;0,16;0,8;6,11;2,1;0,56;5,1;6,1;0,04;0,05;0,25;1,88;0,65;0,17;1,19;0,01;0,01;0,05;0,37;0,13;0,03;0,01;0,01;0,04;0,31;0,11;0,03;1,25;6,1;46,75;16,07;4,25;4,89;37,49;12,89;3,41;7,66;2,63;0,7;0,34;0,09;0,26;13,8;9;10;34;22,4;35,8;1,08;6,9;20,4;27,22;69,18
Ma11.37;Manuel;2011;Año1;Ma11;37;2,2;5,35;0,1;1,38;27,26;6;1,24;0,88;0,66;60,22;9,51;342,97;47,12;2,54;0,17;22,22;8,78;4,84;6,82;9,09;0,1;0,63;0,02;0,13;2,36;35,29;0,27;1,41;1,88;0,02;0,13;0;0,03;0,49;7,29;0,06;1,33;0,01;0,09;0;0,02;0,35;5,18;0,04;6,33;0,18;1,28;23,71;354,24;2,71;0,03;0,2;3,74;55,94;0,43;7,28;135,03;2017,47;15,44;18,55;277,18;2,12;14,94;0,11;0,01;68,34;14,12;10,02;7,52;8,23;31,1;1,8;39,26;9,86;2,66;2,45;278,24;120,2;22,6;9,85;18,28;229,66;17,28;0,79;3,15;11,69;12,69;0,11;0,26;1,38;3,16;1,7;0,14;0,05;0,18;0,68;0,73;0,01;0,01;0,08;0,18;0,1;0,01;3,98;14,76;16,02;0,14;0,33;1,74;3,99;2,15;0,17;3,71;4,02;0,04;0,08;0,44;1;0,54;0,04;1,09;0,01;0,02;0,12;0,27;0,15;0,01;0,01;0,02;0,11;0,25;0,13;0,01;2,31;12,31;28,25;15,22;1,21;5,32;12,2;6,58;0,52;2,29;1,24;0,1;0,54;0,04;0,08;13,4;9;10;74,5;21,8;34,9;1,08;9;13,3;27,22;69,18
